#Freeway,Station,Lanetype,Absolute_Postmile,Lanes,Direction,District,Name,California_Postmile,Latitude,Longitude
SR57-N,1211869,HOV,11.266,1,a,12,TONNER,22,33.940872,-117.875138
SR57-N,1211870,ML,11.266,4,a,12,TONNER,22,33.940872,-117.875138
I405-S,1201556,HOV,11.27,1,d,12,HARBOR 2,11.5,33.689212,-117.91995
I405-S,1201558,ML,11.27,5,d,12,HARBOR 2,11.5,33.689212,-117.91995
SR71-N,812822,HOV,11.298,1,a,8,NB ON PINE AVE,R6.348,33.950369,-117.676045
SR71-N,812821,ML,11.298,2,a,8,NB ON PINE AVE,R6.348,33.950369,-117.676045
SR91-E,766210,HOV,11.368,1,a,7,STUDEBAKER,R17.37,33.876279,-118.095037
SR91-W,766212,HOV,11.368,1,d,7,STUDEBAKER,R17.37,33.876493,-118.095039
SR91-E,766209,ML,11.368,5,a,7,STUDEBAKER,R17.37,33.876279,-118.095037
SR91-W,766211,ML,11.368,3,d,7,STUDEBAKER,R17.37,33.876493,-118.095039
I405-N,1213651,HOV,11.37,1,a,12,HYLAND,11.6,33.690091,-117.921335
I405-N,1213650,ML,11.37,5,a,12,HYLAND,11.6,33.690091,-117.921335
I105-W,760561,HOV,11.4,1,d,7,LONG BEACH 1,R11.4,33.926113,-118.212249
I105-W,760558,ML,11.4,4,d,7,LONG BEACH 1,R11.4,33.926113,-118.212249
US50-E,318890,HOV,11.404,1,a,3,Manlove POC,R5.77,38.55945,-121.371371
US50-W,318892,HOV,11.404,1,d,3,Manlove POC,R5.77,38.559672,-121.371452
US50-E,313753,ML,11.404,4,a,3,Manlove POC,R5.77,38.55945,-121.371371
US50-W,313747,ML,11.404,4,d,3,Manlove POC,R5.77,38.559672,-121.371452
SR57-S,1209041,HOV,11.411,1,d,12,TONNER,22.06,33.94149,-117.874675
SR57-S,1202475,ML,11.411,4,d,12,TONNER,22.06,33.94149,-117.874675
SR22-E,1214714,HOV,11.461,1,a,12,HESPERIAN,R9.9,33.778902,-117.88618
SR22-W,1214713,HOV,11.461,1,d,12,HESPERIAN,R9.9,33.779058,-117.886182
SR22-E,1214715,ML,11.461,2,a,12,HESPERIAN,R9.9,33.778902,-117.88618
SR22-W,1211641,ML,11.461,4,d,12,HESPERIAN,R9.9,33.779058,-117.886182
SR134-W,763612,HOV,11.473,1,d,7,FIGUEROA,R11.49,34.142674,-118.184801
SR134-W,717597,ML,11.473,4,d,7,FIGUEROA,R11.49,34.142674,-118.184801
SR134-E,763606,HOV,11.52,1,a,7,FIGUEROA,R11.52,34.142229,-118.18445
SR134-E,717595,ML,11.52,4,a,7,FIGUEROA,R11.52,34.142229,-118.18445
I105-W,760572,HOV,11.6,1,d,7,LONG BEACH 2,R11.6,33.924777,-118.209134
I105-W,760568,ML,11.6,3,d,7,LONG BEACH 2,R11.6,33.924777,-118.209134
SR55-S,1203315,HOV,11.602,1,d,12,17 TH 1,11.62,33.75738,-117.831392
SR55-S,1203317,ML,11.602,4,d,12,17TH 1,11.62,33.75738,-117.831392
SR134-W,774034,HOV,11.623,1,d,7,COLORADO,R11.64,34.141843,-118.182666
SR134-W,774032,ML,11.623,4,d,7,COLORADO,R11.64,34.141843,-118.182666
SR134-E,774033,HOV,11.64,1,a,7,COLORADO,R11.64,34.141573,-118.182594
SR134-E,774031,ML,11.64,4,a,7,COLORADO,R11.64,34.141573,-118.182594
SR71-S,812832,HOV,11.66,1,d,8,SB ON PINE AVE,R6.71,33.945315,-117.67299
SR71-S,812831,ML,11.66,2,d,8,SB ON PINE AVE,R6.71,33.945315,-117.67299
SR22-E,1214723,HOV,11.691,1,a,12,BRISTOL,R10.13,33.778903,-117.882341
SR22-E,1202901,ML,11.691,2,a,12,BRISTOL,R10.13,33.778903,-117.882341
I105-E,760224,HOV,11.7,1,a,7,LONG BEACH 1,R11.7,33.923785,-118.207757
I105-E,760226,ML,11.7,3,a,7,LONG BEACH 1,R11.7,33.923785,-118.207757
SR22-W,1214706,HOV,11.701,1,d,12,BRISTOL,R10.14,33.779081,-117.882183
SR22-W,1202912,ML,11.701,3,d,12,BRISTOL,R10.14,33.779081,-117.882183
SR55-N,1203329,HOV,11.722,1,a,12,17 TH 1,11.74,33.759105,-117.830994
SR55-N,1203331,ML,11.722,4,a,12,17TH 1,11.74,33.759105,-117.830994
I605-N,763693,HOV,11.802,1,a,7,N OF 5,R9.75,33.942882,-118.09562
I605-S,762669,HOV,11.802,1,d,7,N OF 5,R9.75,33.942967,-118.095825
I605-N,717879,ML,11.802,4,a,7,N OF 5,R9.75,33.942882,-118.09562
I605-S,716797,ML,11.802,3,d,7,N OF 5,R9.75,33.942967,-118.095825
SR71-N,819326,HOV,11.87,1,a,8,M 1 Mi N/O SR-83,R6.92,33.943234,-117.670721
SR71-N,819324,ML,11.87,2,a,8,M 1 Mi. N/O SR-83,R6.92,33.943234,-117.670721
US50-E,318888,HOV,11.896,1,a,3,W. of Mayhew,R6.262,38.560406,-121.362358
US50-W,318886,HOV,11.896,1,d,3,W. of Mayhew,R6.262,38.56061,-121.362437
US50-E,313897,ML,11.896,4,a,3,W. of Mayhew,R6.262,38.560406,-121.362358
US50-W,313890,ML,11.896,4,d,3,W. of Mayhew,R6.262,38.56061,-121.362437
I105-E,760237,HOV,11.9,1,a,7,LONG BEACH 2,R11.9,33.922422,-118.20466
I105-E,760236,ML,11.9,3,a,7,LONG BEACH 2,R11.9,33.922422,-118.20466
SR22-E,1215115,HOV,11.911,1,a,12,W OF 5,R10.35,33.778938,-117.878722
SR22-W,1215114,HOV,11.911,1,d,12,W OF 5,R10.35,33.779104,-117.878735
I405-N,1209244,HOV,11.93,1,a,12,HAMPSHIRE,12.16,33.693692,-117.930032
I405-S,1209242,HOV,11.93,1,d,12,HAMPSHIRE,12.16,33.693448,-117.930222
I405-N,1209243,ML,11.93,5,a,12,HAMPSHIRE,12.16,33.693692,-117.930032
I405-S,1209241,ML,11.93,6,d,12,HAMPSHIRE,12.16,33.693448,-117.930222
SR91-E,759974,HOV,11.958,1,a,7,PIONEER 1,R17.96,33.876317,-118.084773
SR91-W,717429,HOV,11.958,1,d,7,PIONEER 1,R17.96,33.876536,-118.084783
SR91-E,717431,ML,11.958,4,a,7,PIONEER 1,R17.96,33.876317,-118.084773
SR91-W,717428,ML,11.958,4,d,7,PIONEER 1,R17.96,33.876536,-118.084783
SR55-N,1203340,HOV,11.982,1,a,12,17TH 2,12,33.762898,-117.830834
SR55-N,1203342,ML,11.982,4,a,12,17TH 2,12,33.762898,-117.830834
SR22-E,1212170,ML,12.091,2,a,12,W OF 5,R10.53,33.778882,-117.875647
SR22-W,1202929,ML,12.091,3,d,12,W OF 5,R10.53,33.779039,-117.875662
I105-W,760545,HOV,12.1,1,d,7,BULLIS,R12.1,33.921331,-118.201425
I105-W,716448,ML,12.1,3,d,7,BULLIS,R12.1,33.921331,-118.201425
I110-N,772078,HOV,12.17,1,a,7,137TH,12.24,33.90698,-118.286419
I110-S,771223,HOV,12.17,1,d,7,137TH,12.24,33.906991,-118.286756
I110-N,716490,ML,12.17,5,a,7,137TH,12.24,33.90698,-118.286419
I110-S,716491,ML,12.17,5,d,7,137TH,12.24,33.906991,-118.286756
SR91-E,759975,HOV,12.208,1,a,7,PIONEER 2,R18.21,33.876324,-118.080425
SR91-W,759987,HOV,12.208,1,d,7,PIONEER 2,R18.21,33.87657,-118.080438
SR91-E,717434,ML,12.208,4,a,7,PIONEER 2,R18.21,33.876324,-118.080425
SR91-W,717433,ML,12.208,4,d,7,PIONEER 2,R18.21,33.87657,-118.080438
SR134-W,763610,HOV,12.253,1,d,7,SAN RAFAEL,R12.27,34.142896,-118.172193
SR134-W,717599,ML,12.253,4,d,7,SAN RAFAEL,R12.27,34.142896,-118.172193
I405-S,1201587,HOV,12.27,1,d,12,EUCLID,12.5,33.695653,-117.9355
I405-S,1201589,ML,12.27,5,d,12,EUCLID,12.5,33.695653,-117.9355
SR22-E,1215128,HOV,12.271,1,a,12,E OF 5,R10.71,33.77834,-117.872382
SR22-W,1215129,HOV,12.271,1,d,12,E OF 5,R10.71,33.778461,-117.872394
SR22-E,1202921,ML,12.271,2,a,12,E OF 5,R10.71,33.77834,-117.872382
SR22-W,1202917,ML,12.271,3,d,12,E OF 5,R10.71,33.778461,-117.872394
SR55-N,1215810,HOV,12.282,1,a,12,SANTA CLARA,12.3,33.767287,-117.830905
SR55-S,1215808,HOV,12.282,1,d,12,SANTA CLARA,12.3,33.767289,-117.83108
SR55-N,1215811,ML,12.282,5,a,12,SANTA CLARA,12.3,33.767287,-117.830905
SR55-S,1215809,ML,12.282,5,d,12,SANTA CLARA,12.3,33.767289,-117.83108
I605-S,762671,HOV,12.412,1,d,7,TELEGRAPH,R10.36,33.950974,-118.091381
I605-S,717884,ML,12.412,4,d,7,TELEGRAPH,R10.36,33.950974,-118.091381
I605-N,717882,HOV,12.447,1,a,7,TELEGRAPH,R10.395,33.951332,-118.090846
I605-N,717881,ML,12.447,4,a,7,TELEGRAPH,R10.395,33.951332,-118.090846
SR134-E,763608,HOV,12.45,1,a,7,SAN RAFAEL,R12.45,34.144583,-118.1678
SR134-E,717601,ML,12.45,4,a,7,SAN RAFAEL,R12.45,34.144583,-118.1678
SR91-W,759989,HOV,12.498,1,d,7,NORWALK 1,R18.5,33.876583,-118.075397
SR91-W,717435,ML,12.498,4,d,7,NORWALK 1,R18.5,33.876583,-118.075397
I105-E,760242,HOV,12.6,1,a,7,HARRIS,R12.6,33.917731,-118.194032
I105-W,760550,HOV,12.6,1,d,7,HARRIS,R12.6,33.918043,-118.193865
I105-E,716449,ML,12.6,4,a,7,HARRIS,R12.6,33.917731,-118.194032
I105-W,716450,ML,12.6,4,d,7,HARRIS,R12.6,33.918043,-118.193865
I405-N,1201604,HOV,12.62,1,a,12,EUCLID,12.85,33.69816,-117.940729
I405-N,1201606,ML,12.62,5,a,12,EUCLID,12.85,33.69816,-117.940729
SR55-N,1212937,HOV,12.682,1,a,12,FAIRHAVEN,12.7,33.773139,-117.830912
SR55-S,1212934,HOV,12.682,1,d,12,FAIRHAVEN,12.7,33.773138,-117.831088
SR55-N,1212938,ML,12.682,4,a,12,FAIRHAVEN,12.7,33.773139,-117.830912
SR55-S,1212935,ML,12.682,3,d,12,FAIRHAVEN,12.7,33.773138,-117.831088
US50-W,318884,HOV,12.698,1,d,3,Mayhew Rd.,R7.064,38.562181,-121.347761
SR91-W,759988,HOV,12.698,1,d,7,NORWALK 2,R18.7,33.876613,-118.071914
US50-W,313846,ML,12.698,4,d,3,Mayhew Rd.,R7.064,38.562181,-121.347761
SR91-W,717438,ML,12.698,4,d,7,NORWALK 2,R18.7,33.876613,-118.071914
SR71-N,812731,HOV,12.727,1,a,8,.3 MI N/O EUCLID,R7.777,33.933214,-117.661517
SR71-N,812730,ML,12.727,2,a,8,.3 MI N/O EUCLID,R7.777,33.933214,-117.661517
SR134-W,717604,HOV,12.763,1,d,7,ORANGE GROVE,R12.78,34.146519,-118.162409
SR134-W,717603,ML,12.763,5,d,7,ORANGE GROVE,R12.78,34.146519,-118.162409
SR91-E,759978,HOV,12.768,1,a,7,NORWALK 2,R18.77,33.876366,-118.070702
SR91-E,717439,ML,12.768,4,a,7,NORWALK 2,R18.77,33.876366,-118.070702
SR22-W,1214746,HOV,12.791,1,d,12,MAIN,R11.23,33.778348,-117.863135
SR22-W,1202938,ML,12.791,3,d,12,MAIN,R11.23,33.778348,-117.863135
SR22-E,1214752,HOV,12.811,1,a,12,MAIN,R11.25,33.778206,-117.862808
SR22-E,1202949,ML,12.811,3,a,12,MAIN,R11.25,33.778206,-117.862808
SR71-S,814860,HOV,12.906,1,d,8,EUCLID AVE SB ON,R7.956,33.930984,-117.659792
SR71-S,812690,ML,12.906,2,d,8,EUCLID AVE SB ON,R7.956,33.930984,-117.659792
I405-N,1209260,HOV,12.93,1,a,12,WARD,13.16,33.700164,-117.945538
I405-S,1209262,HOV,12.93,1,d,12,WARD,13.16,33.699965,-117.945727
I405-N,1209259,ML,12.93,5,a,12,WARD,13.16,33.700164,-117.945538
I405-S,1209261,ML,12.93,5,d,12,WARD,13.16,33.699965,-117.945727
I605-N,762619,HOV,12.962,1,a,7,PLACITA,R10.91,33.958124,-118.087014
I605-S,762620,HOV,12.962,1,d,7,PLACITA,R10.91,33.958207,-118.087265
I605-N,716800,ML,12.962,4,a,7,PLACITA,R10.91,33.958124,-118.087014
I605-S,717885,ML,12.962,4,d,7,PLACITA,R10.91,33.958207,-118.087265
SR71-N,812705,HOV,12.976,1,a,8,EUCLID AVE NB ON,R8.026,33.93026,-117.658916
SR71-N,812704,ML,12.976,2,a,8,EUCLID AVE NB ON,R8.026,33.93026,-117.658916
I105-W,760598,HOV,13.01,1,d,7,FM 710 NB,R13.01,33.915511,-118.187405
I105-W,760599,ML,13.01,3,d,7,FM 710 NB,R13.01,33.915511,-118.187405
SR91-W,759990,HOV,13.058,1,d,7,BLOOMFIELD,R19.06,33.876119,-118.065686
SR91-W,717440,ML,13.058,4,d,7,BLOOMFIELD,R19.06,33.876119,-118.065686
I405-S,1201618,HOV,13.07,1,d,12,TALBERT,13.3,33.700854,-117.947913
I405-S,1201620,ML,13.07,5,d,12,TALBERT,13.3,33.700854,-117.947913
SR57-N,763537,HOV,13.077,1,a,7,BREA CANYON,R1.26,33.960273,-117.855729
SR57-N,763539,ML,13.077,4,a,7,BREA CANYON,R1.26,33.960273,-117.855729
SR91-E,759991,HOV,13.108,1,a,7,BLOOMFIELD,R19.11,33.875647,-118.064958
SR91-E,717441,ML,13.108,4,a,7,BLOOMFIELD,R19.11,33.875647,-118.064958
US50-W,318744,HOV,13.134,1,d,3,SB Bradshaw Rd.,R7.5,38.564145,-121.340221
US50-W,313003,ML,13.134,4,d,3,SB Bradshaw Rd.,R7.5,38.564145,-121.340221
SR57-S,763968,HOV,13.162,1,d,7,BREA CANYON,R1.26,33.960374,-117.856055
SR57-S,763970,ML,13.162,4,d,7,BREA CANYON,R1.26,33.960374,-117.856055
SR71-S,814862,HOV,13.163,1,d,8,EUCLID AVE SB ON,R8.213,33.927697,-117.65738
SR71-S,812717,ML,13.163,2,d,8,EUCLID AVE SB ON,R8.213,33.927697,-117.65738
SR134-E,717607,HOV,13.18,1,a,7,ORANGE GROVE,R13.18,34.148278,-118.157788
SR134-E,717606,ML,13.18,4,a,7,ORANGE GROVE,R13.18,34.148278,-118.157788
SR55-N,1212884,HOV,13.182,1,a,12,LA VETA,13.2,33.78031,-117.830987
SR55-S,1212881,HOV,13.182,1,d,12,LA VETA,13.2,33.780312,-117.831163
SR55-N,1212885,ML,13.182,3,a,12,LA VETA,13.2,33.78031,-117.830987
SR55-S,1212882,ML,13.182,4,d,12,LA VETA,13.2,33.780312,-117.831163
I105-E,760246,HOV,13.2,1,a,7,WRIGHT,R13.2,33.914156,-118.184451
I105-W,760256,HOV,13.2,1,d,7,WRIGHT,R13.2,33.91443,-118.184361
I105-E,718155,ML,13.2,3,a,7,WRIGHT,R13.2,33.914156,-118.184451
I105-W,763712,ML,13.2,3,d,7,WRIGHT,R13.2,33.91443,-118.184361
I105-W,760604,HOV,13.21,1,d,7,FM 710 SB,R13.21,33.914378,-118.184198
I105-W,760606,ML,13.21,3,d,7,FM 710 SB,R13.21,33.914378,-118.184198
SR22-E,1214729,HOV,13.241,1,a,12,GLASSELL1,R11.68,33.776567,-117.855753
SR22-W,1214727,HOV,13.241,1,d,12,GLASSELL1,R11.68,33.776676,-117.855696
SR22-E,1202964,ML,13.241,3,a,12,GLASSELL1,R11.68,33.776567,-117.855753
SR22-W,1202960,ML,13.241,3,d,12,GLASSELL1,R11.68,33.776676,-117.855696
SR60-E,773410,HOV,13.341,1,a,7,E/O CROSSROAD PKWY,13.2,34.028638,-118.002779
SR60-W,773408,HOV,13.341,1,d,7,E/O CROSSROAD PKWY,13.2,34.028877,-118.0027
SR60-E,773409,ML,13.341,5,a,7,E/O CROSSROAD PKWY,13.2,34.028638,-118.002779
SR60-W,773407,ML,13.341,5,d,7,E/O CROSSROAD PKWY,13.2,34.028877,-118.0027
SR91-W,766554,HOV,13.398,1,d,7,SHOWMAKER,R19.4,33.873627,-118.060623
SR91-W,766555,ML,13.398,4,d,7,SHOWMAKER,R19.4,33.873627,-118.060623
SR91-E,759979,HOV,13.408,1,a,7,SHOEMAKER,R19.41,33.873306,-118.060607
SR91-E,759980,ML,13.408,4,a,7,SHOEMAKER,R19.41,33.873306,-118.060607
US50-W,318742,HOV,13.434,1,d,3,NB Bradshaw Rd.,R7.8,38.566451,-121.335551
US50-W,313005,ML,13.434,4,d,3,NB Bradshaw Rd.,R7.8,38.566451,-121.335551
US50-E,318900,HOV,13.484,1,a,3,NB Bradshaw Rd,R7.85,38.566611,-121.334646
US50-E,314668,ML,13.488,4,a,3,NB Bradshaw Rd,R7.854,38.566642,-121.334583
SR55-S,1203359,HOV,13.492,1,d,12,CHAPMAN 1,13.51,33.784755,-117.831128
SR55-S,1203361,ML,13.492,5,d,12,CHAPMAN 1,13.51,33.784755,-117.831128
SR91-E,768229,HOV,13.498,1,a,7,ARTESIA,R19.5,33.87249,-118.059386
SR91-W,768228,HOV,13.498,1,d,7,ARTESIA,R19.5,33.872702,-118.059283
SR91-E,768223,ML,13.498,4,a,7,ARTESIA,R19.5,33.87249,-118.059386
SR91-W,768222,ML,13.498,4,d,7,ARTESIA,R19.5,33.872702,-118.059283
I405-N,1201635,HOV,13.51,1,a,12,BROOKHUR 1,13.74,33.704947,-117.953701
I405-N,1201637,ML,13.51,4,a,12,BROOKHUR1,13.74,33.704947,-117.953701
I605-N,717892,HOV,13.562,1,a,7,SLAUSON,R11.51,33.966404,-118.083604
I605-S,717889,HOV,13.562,1,d,7,SLAUSON,R11.51,33.966467,-118.083807
I605-N,717888,ML,13.562,4,a,7,SLAUSON,R11.51,33.966404,-118.083604
I605-S,717887,ML,13.562,4,d,7,SLAUSON,R11.51,33.966467,-118.083807
SR22-W,1214734,HOV,13.571,1,d,12,GLASSELL2,R12.01,33.775279,-117.850279
SR22-W,1202981,ML,13.571,3,d,12,GLASSELL2,R12.01,33.775279,-117.850279
I405-S,1201651,HOV,13.58,1,d,12,BROOKHURST 2,13.81,33.705479,-117.954762
I405-S,1201653,ML,13.58,4,d,12,BROOKHURST2,13.81,33.705479,-117.954762
SR57-N,769062,HOV,13.637,1,a,7,DIAMOND BAR,R1.82,33.966883,-117.84993
SR57-N,769061,ML,13.637,4,a,7,DIAMOND BAR,R1.82,33.966883,-117.84993
SR57-S,763595,HOV,13.722,1,d,7,DIAMOND BAR,R1.82,33.966993,-117.850185
SR57-S,763597,ML,13.722,4,d,7,DIAMOND BAR,R1.82,33.966993,-117.850185
SR55-S,1203385,HOV,13.732,1,d,12,CHAPMAN 2,13.75,33.788212,-117.831081
SR55-S,1203387,ML,13.732,4,d,12,CHAPMAN 2,13.75,33.788212,-117.831081
I405-N,1201669,HOV,13.74,1,a,12,BROOKHUR2,13.97,33.707312,-117.956518
I405-N,1201671,ML,13.74,4,a,12,BROOKHUR2,13.97,33.707312,-117.956518
I105-E,760267,HOV,13.8,1,a,7,GARFIELD 1,R13.8,33.911105,-118.174619
I105-W,760617,HOV,13.8,1,d,7,GARFIELD 1,R13.8,33.911423,-118.174572
I105-E,716453,ML,13.8,3,a,7,GARFIELD 1,R13.8,33.911105,-118.174619
I105-W,760619,ML,13.8,3,d,7,GARFIELD 1,R13.8,33.911423,-118.174572
I105-E,767859,HOV,13.81,1,a,7,FM 710 NB,R13.81,33.911091,-118.174445
I105-E,767857,ML,13.81,3,a,7,FM 710 NB,R13.81,33.911091,-118.174445
SR22-W,1215212,HOV,13.811,1,d,12,CONCORD,R12.25,33.775744,-117.846201
SR22-W,1214882,ML,13.811,4,d,12,CONCORD,R12.25,33.775744,-117.846201
I105-E,767870,HOV,13.86,1,a,7,FM 710 SB,R13.86,33.911021,-118.173573
I105-E,767868,ML,13.86,3,a,7,FM 710 SB,R13.86,33.911021,-118.173573
SR55-N,1203398,HOV,13.882,1,a,12,CHAPMAN 2,13.9,33.790409,-117.830884
SR55-N,1203400,ML,13.882,4,a,12,CHAPMAN 2,13.9,33.790409,-117.830884
US50-E,318879,HOV,13.904,1,a,3,E. of Bradshaw,R8.27,38.569846,-121.328043
US50-W,318876,HOV,13.904,1,d,3,E. of Bradshaw,R8.27,38.570067,-121.328183
US50-E,313765,ML,13.904,4,a,3,E. of Bradshaw,R8.27,38.569846,-121.328043
US50-W,313790,ML,13.904,5,d,3,E. of Bradshaw,R8.27,38.570067,-121.328183
I605-S,762673,HOV,14.012,1,d,7,WASHINGTON 1,R11.96,33.972515,-118.080722
I605-S,717894,ML,14.012,4,d,7,WASHINGTON 1,R11.96,33.972515,-118.080722
SR57-N,763544,HOV,14.017,1,a,7,DIAMOND BAR,R2.2,33.971554,-117.846408
SR57-N,763546,ML,14.017,4,a,7,DIAMOND BAR,R2.2,33.971554,-117.846408
I605-N,762622,HOV,14.042,1,a,7,S OF WASHINGTON,R11.99,33.972857,-118.080336
I605-N,717893,ML,14.042,4,a,7,S OF WASHINGTON,R11.99,33.972857,-118.080336
SR91-W,759993,HOV,14.138,1,d,7,183RD,R20.14,33.866819,-118.050661
SR91-W,717442,ML,14.138,4,d,7,183RD,R20.14,33.866819,-118.050661
I605-S,762675,HOV,14.172,1,d,7,WASHINGTON 2,R12.12,33.974742,-118.079877
I605-S,717896,ML,14.172,4,d,7,WASHINGTON 2,R12.12,33.974742,-118.079877
SR91-E,759992,HOV,14.208,1,a,7,183RD,R20.21,33.86603,-118.049777
SR91-E,717443,ML,14.208,4,a,7,183RD,R20.21,33.86603,-118.049777
SR60-E,773461,HOV,14.241,1,a,7,SEVENTH AVE 1,14.1,34.021504,-117.990223
SR60-W,773459,HOV,14.241,1,d,7,SEVENTH AVE 1,14.1,34.021646,-117.990029
SR60-E,773460,ML,14.241,5,a,7,SEVENTH AVE 1,14.1,34.021504,-117.990223
SR60-W,773458,ML,14.241,4,d,7,SEVENTH AVE 1,14.1,34.021646,-117.990029
I405-N,1209275,HOV,14.31,1,a,12,BUSHARD,14.54,33.713149,-117.963527
I405-S,1209277,HOV,14.31,1,d,12,BUSHARD,14.54,33.712987,-117.963724
I405-N,1209274,ML,14.31,4,a,12,BUSHARD,14.54,33.713149,-117.963527
I405-S,1209276,ML,14.31,4,d,12,BUSHARD,14.54,33.712987,-117.963724
US50-E,318896,HOV,14.324,1,a,3,Routier Rd.,R8.69,38.572887,-121.321301
US50-W,318894,HOV,14.324,1,d,3,Routier Rd.,R8.69,38.573059,-121.321422
US50-E,313867,ML,14.324,4,a,3,Routier Rd.,R8.69,38.572887,-121.321301
US50-W,313861,ML,14.324,4,d,3,Routier Rd.,R8.69,38.573059,-121.321422
SR55-N,1212841,HOV,14.382,1,a,12,Walnut,14.4,33.797732,-117.831045
SR55-S,1212839,HOV,14.382,1,d,12,Walnut,14.4,33.797729,-117.831223
SR55-N,1212842,ML,14.382,5,a,12,Walnut,14.4,33.797732,-117.831045
SR55-S,1212840,ML,14.382,5,d,12,Walnut,14.4,33.797729,-117.831223
I105-E,760279,HOV,14.4,1,a,7,E/O FACADE,R14.4,33.91131,-118.164179
I105-W,760580,HOV,14.4,1,d,7,E/O FACADE,R14.4,33.911652,-118.164198
I105-E,716456,ML,14.4,5,a,7,FACADE,R14.4,33.91131,-118.164179
I105-W,716457,ML,14.4,5,d,7,FACADE,R14.4,33.911652,-118.164198
I405-S,1201685,HOV,14.49,1,d,12,WARNER,14.72,33.714839,-117.965935
I405-S,1201687,ML,14.49,4,d,12,WARNER,14.72,33.714839,-117.965935
I605-N,717899,HOV,14.532,1,a,7,SARAGOSA,R12.48,33.979377,-118.077076
I605-N,717897,ML,14.532,4,a,7,SARAGOSA,R12.48,33.979377,-118.077076
SR55-N,1212864,HOV,14.582,1,a,12,COLLINS,14.6,33.800652,-117.831355
SR55-S,1212862,HOV,14.582,1,d,12,COLLINS,14.6,33.800649,-117.831527
SR55-N,1212865,ML,14.582,5,a,12,COLLINS,14.6,33.800652,-117.831355
SR55-S,1212863,ML,14.582,5,d,12,COLLINS,14.6,33.800649,-117.831527
I405-N,1201703,HOV,14.59,1,a,12,WARNER,14.82,33.716027,-117.966959
I405-N,1201705,ML,14.59,4,a,12,WARNER,14.82,33.716027,-117.966959
I605-S,717902,HOV,14.625,1,d,7,WASHINGTON 3,R12.573,33.980513,-118.076242
I605-S,717898,ML,14.625,4,d,7,WASHINGTON 3,R12.573,33.980513,-118.076242
SR91-E,773366,HOV,14.698,1,a,7,CARMENITA,R20.7,33.862202,-118.042466
SR91-W,773365,HOV,14.698,1,d,7,CARMENITA,R20.7,33.862383,-118.04237
SR91-E,773363,ML,14.698,4,a,7,CARMENITA,R20.7,33.862202,-118.042466
SR91-W,773362,ML,14.698,4,d,7,CARMENITA,R20.7,33.862383,-118.04237
SR14-S,766963,HOV,14.763,1,d,7,AGUA DULCE CANYON RD,39.6,34.466425,-118.334293
SR14-S,766730,ML,14.763,2,d,7,AGUA DULCE CANYON RD,39.6,34.466425,-118.334293
I105-E,760289,HOV,14.8,1,a,7,PARAMOUNT,R14.8,33.912001,-118.157276
I105-E,760283,ML,14.8,3,a,7,PARAMOUNT,R14.8,33.912001,-118.157276
SR57-N,769069,HOV,14.863,1,a,7,PATHFINDER,R3.046,33.982608,-117.842112
SR57-N,769068,ML,14.863,4,a,7,PATHFINDER,R3.046,33.982608,-117.842112
I105-W,760585,HOV,14.9,1,d,7,MERKEL,R14.9,33.912441,-118.155588
I105-W,716459,ML,14.9,3,d,7,MERKEL,R14.9,33.912441,-118.155588
SR57-S,763588,HOV,14.902,1,d,7,PATHFINDER,R3,33.981951,-117.842186
SR57-S,763590,ML,14.902,4,d,7,PATHFINDER,R3,33.981951,-117.842186
I405-S,1201717,HOV,14.93,1,d,12,MAGNOLIA 1,15.16,33.71936,-117.971343
I405-S,1201719,ML,14.93,4,d,12,MAGNOLIA 1,15.16,33.71936,-117.971343
US50-E,313740,ML,14.934,4,a,3,Mather Spur Up,R9.3,38.576937,-121.311242
I405-N,1201733,HOV,14.94,1,a,12,MAGNOLIA 1,15.17,33.719628,-117.971245
I405-N,1201735,ML,14.94,4,a,12,MAGNOLIA1,15.17,33.719628,-117.971245
I605-N,762679,HOV,15.052,1,a,7,ROSEHEDGE,R13,33.9855,-118.071807
I605-S,762678,HOV,15.052,1,d,7,ROSEHEDGE,R13,33.985594,-118.072012
I605-N,717903,ML,15.052,4,a,7,ROSEHEDGE,R13,33.9855,-118.071807
I605-S,716810,ML,15.052,4,d,7,ROSEHEDGE,R13,33.985594,-118.072012
US50-E,318907,HOV,15.104,1,a,3,SB Mather Field Rd,R9.47,38.578153,-121.308503
SR60-E,773543,HOV,15.121,1,a,7,W/O TURNBULL,14.98,34.011912,-117.980122
SR60-W,773542,HOV,15.121,1,d,7,W/O TURNBULL,14.98,34.012079,-117.980022
SR60-E,718453,ML,15.121,5,a,7,W/O TURNBULL,14.98,34.011912,-117.980122
SR60-W,716241,ML,15.121,4,d,7,W/O TURNBULL,14.98,34.012079,-117.980022
SR91-W,1211860,HOV,15.139,1,d,12,ORANGETHORPE,R.4,33.85962,-118.035622
I405-N,1201749,HOV,15.16,1,a,12,MAGNOLIA 2,15.39,33.721879,-117.973953
I405-N,1201751,ML,15.16,4,a,12,MAGNOLIA2,15.39,33.721879,-117.973953
SR14-N,766961,HOV,15.163,1,a,7,AGUA DULCE CANYON RD,40,34.466671,-118.327283
SR14-N,766740,ML,15.163,3,a,7,AGUA DULCE CANYON RD,40,34.466671,-118.327283
SR55-N,1203426,HOV,15.202,1,a,12,KATELLA,15.22,33.809608,-117.831849
