# Time-series
# t	r	v	r_1_P	v_1_P	r_1_L	v_1_L	r_1	v_1	...
332	3.8762	92.875	2.2018	109	0	0	2.2018	109	4.5161	93	0.65217	92	5.1682	92.875	0.68966	87	6.2069	87	6.8966	87	1.3333	90	0	0	1.3333	90
333	3.1447	95.4	0.47619	126	0	0	0.47619	126	4.5714	105	0	0	4.5714	105	1.4286	84	6.2791	86	7.707	85.636	0	0	0	0	0	0
334	3.4359	96.045	0.56075	107	0	0	0.56075	107	5.5102	98	0.69767	86	6.1983	96.8	2.9412	102	4.0909	88	6.9942	94.364	0	0	0	0	0	0
335	4.1763	93.385	1.8557	97	0	0	1.8557	97	6.1224	98	0	0	6.1224	98	1.9565	92	4.7191	89	6.6741	89.9	2.093	86	0	0	2.093	86
336	3.2396	101.86	1.6216	111	0	0	1.6216	111	6.1682	107	0	0	6.1682	107	1.8182	99	2.069	87	3.871	93	0.61856	97	0.78947	76	1.3873	86.5
337	2.9014	103.4	1.0909	110	0	0	1.0909	110	4.3243	111	0	0	4.3243	111	3.0612	98	2.6374	91	5.6909	94.889	0.56604	106	0	0	0.56604	106
338	2.6369	96.706	1.0256	117	0	0	1.0256	117	1.7308	104	0	0	1.7308	104	1.8182	99	4	90	5.8065	93	2.069	87	0	0	2.069	87
339	2.3689	101.31	0.58252	103	0	0	0.58252	103	3.1579	114	0	0	3.1579	114	1.1429	105	2.0225	89	3.1447	95.4	1.8557	97	0.90909	66	2.6891	89.25
340	4.4813	97.069	2.1622	111	0	0	2.1622	111	6.5347	101	1.2371	97	7.7701	100.38	0.49587	121	4.186	86	4.6154	91	2.069	87	1.4286	84	3.4965	85.8
341	5.868	102.25	3.9024	123	0	0	3.9024	123	8.1553	103	0	0	8.1553	103	3.913	92	3.956	91	7.8689	91.5	3.125	96	0.69767	86	3.8163	94.333
342	2.7629	97.722	0	0	0	0	0	0	4.6154	104	0.58824	102	5.2034	103.78	2.4242	99	2.069	87	4.4749	93.857	1.4286	84	0	0	1.4286	84
