# Time-series
# t	r	v	r_1_P	v_1_P	r_1_L	v_1_L	r_1	v_1	...
353	10.126	91.839	6.9231	104	1.8947	95	8.8063	102.2	5.1852	81	6.506	83	11.689	82.125
354	7.4163	97.083	5.1429	105	0.55556	108	5.698	105.3	7.0213	94	2.2222	81	9.2091	91.214
355	7.0785	97.478	7.5728	103	0.65934	91	8.2238	102.14	3	100	3.0769	78	5.9852	90.222
356	9.5432	97.452	8.1553	103	0	0	8.1553	103	7.4227	97	3.6145	83	10.982	92.882
357	8.3729	96.741	7.5728	103	0	0	7.5728	103	7.1739	92	2.069	87	9.238	90.929
358	13.427	91.61	10.588	102	0	0	10.588	102	11.294	85	5.25	80	16.531	83.478
359	5.612	96.222	4.0777	103	0	0	4.0777	103	3.75	96	3.4483	87	7.181	91.909
360	13.268	92.707	11.4	100	0	0	11.4	100	9.0698	86	6.2069	87	15.276	86.409
361	13.167	95.69	15.152	99	0	0	15.152	99	7.8261	92	3.4091	88	11.231	90.824
362	13.491	91.171	12.857	98	0	0	12.857	98	12.143	84	2.1429	84	14.286	84
363	14.663	87.977	13.548	93	0.64516	93	14.194	93	13.012	83	2.2222	81	15.233	82.714
364	11.731	94.622	15	96	0	0	15	96	5.1064	94	3.3708	89	8.4712	92.077
365	11.064	97.611	13.529	102	0	0	13.529	102	5.2747	91	3.4091	88	8.6815	89.846
366	13.2	95.452	14.851	101	0	0	14.851	101	8.2759	87	3.4091	88	11.685	87.294
367	12.403	96.75	12.941	102	0	0	12.941	102	10.549	91	1.4118	85	11.956	90.333
368	16.964	88.42	18.462	91	1.2121	99	19.665	91.533	10.714	84	3.6145	83	14.328	83.75
369	14.409	93.689	12.6	100	0	0	12.6	100	13.483	89	2.8571	84	16.333	88.167
370	18.832	87.618	23.871	93	0	0	23.871	93	10.263	76	3.8462	78	14.107	76.556
371	20.946	83.069	19.535	86	1.3187	91	20.849	86.333	18.75	80	2.3684	76	21.113	79.571
372	15.046	91.717	15.464	97	0.58824	102	16.051	97.192	8.4706	85	5.7143	84	14.184	84.6
373	19.984	87.069	23.333	90	0	0	23.333	90	10.714	84	6	80	16.705	82.609
374	18.898	85.722	24.828	87	0.72289	83	25.549	86.892	9.5122	82	2.7586	87	12.263	83.176
375	25.918	76.394	24.75	80	1.4118	85	26.157	80.286	16.667	72	9.1667	72	25.833	72
376	21.519	82.254	23.023	86	0.73171	82	23.753	85.882	13.247	77	6.1538	78	19.4	77.32
377	19.796	81.833	20.233	86	0	0	20.233	86	14.026	77	5.4545	77	19.481	77
378	25.815	74.375	26.582	79	0	0	26.582	79	20	69	5.2941	68	25.293	68.793
379	30.398	70.07	30	72	1.6438	73	31.644	72.053	20	69	9.2308	65	29.209	67.788
380	21.717	77.357	19.756	82	0.75	80	20.506	81.929	18.082	73	5	72	23.081	72.786
381	26.983	73.379	26.494	77	0	0	26.494	77	24.857	70	2.7692	65	27.613	69.531
382	23.898	72.81	24.474	76	0	0	24.474	76	20	69	3.4286	70	23.428	69.148
383	22.936	75.862	25.823	79	0.74074	81	26.563	79.057	14.366	71	5.0704	71	19.437	71
384	25.278	73.581	25.823	79	0	0	25.823	79	17.015	67	8.0597	67	25.075	67
385	27.934	73.029	29.61	77	0	0	29.61	77	17.647	68	8.8235	68	26.471	68
386	27.173	69.556	27.568	74	0	0	27.568	74	19.091	66	8	60	27.042	64.345
387	22.737	77.847	24.444	81	1.3636	88	25.799	81.4	16.438	73	3.3803	71	19.817	72.667
388	25.979	71.597	28.378	74	0	0	28.378	74	17.391	69	6.2687	67	23.656	68.481
389	29.217	63.661	30	66	0	0	30	66	20.656	61	7.8689	61	28.525	61
390	33.543	55.452	32.542	59	0	0	32.542	59	29.412	51	5.4545	55	34.839	51.667
391	27.692	58.5	29.032	62	0	0	29.032	62	18.545	55	8.0769	52	26.605	54.125
392	28.903	58.125	29.032	62	0	0	29.032	62	25.556	54	3.5294	51	29.075	53.654
393	33.312	54.934	33.103	58	0	0	33.103	58	24.906	53	8.9362	47	33.753	51.552
394	39.609	49.231	36.226	53	1.1111	54	37.337	53.03	34.091	44	8.4	50	42.372	45.312
395	30.141	61.71	30.462	65	1.0526	57	31.499	64.765	22.759	58	6.2069	58	28.966	58
396	27.204	66.167	25.714	70	0	0	25.714	70	24.194	62	4.6875	64	28.877	62.333
397	28.316	62.508	26.364	66	0	0	26.364	66	29.492	59	0.95238	63	30.44	59.133
398	34.08	60.739	34.839	62	0.84507	71	35.667	62.243	29.492	59	3.0508	59	32.542	59
399	33.229	57.781	34	60	0	0	34	60	28.364	55	4.2105	57	32.569	55.267
400	32.311	54.78	30.508	59	0	0	30.508	59	27.6	50	6.9231	52	34.514	50.414
401	31.525	59.952	28.125	64	0.86957	69	28.989	64.161	30	56	4.3636	55	34.362	55.875
402	26.958	60.093	28.571	63	1.0526	57	29.615	62.806	17.586	58	6.9231	52	24.453	56.435
403	31.698	53.947	33.818	55	0	0	33.818	55	20.377	53	9.2308	52	29.606	52.692
404	39.223	46.656	37.5	48	0	0	37.5	48	33.913	46	7.1429	42	41.01	45.355
405	53.078	36.738	50.526	38	0	0	50.526	38	51.667	36	4.2857	28	55.751	35.515
406	52.205	27.583	52	30	1.6667	36	53.603	30.222	41.739	23	10.714	28	52.087	24.19
407	44.499	40.45	45.366	41	2.8571	42	48.221	41.061	34.5	40	6.3158	38	40.802	39.704
408	38.702	49.609	40.385	52	0	0	40.385	52	31.915	47	5.3333	45	37.24	46.724
409	29.087	58.789	29.508	61	0	0	29.508	61	22.105	57	6.6667	54	28.757	56.333
410	33.769	55.081	32.542	59	0.95238	63	33.491	59.121	26.4	50	8.0769	52	34.467	50.483
411	32.335	55.667	33.103	58	0	0	33.103	58	24.231	52	7.5	56	31.698	53
412	31.033	59.935	28.615	65	0.74074	81	29.313	65.5	28.889	54	4.4444	54	33.333	54
413	34.118	57.154	32.381	63	0	0	32.381	63	31.765	51	4.898	49	36.656	50.742
414	41.856	50.171	34.909	55	3.6	50	38.482	54.571	40.435	46	5.4545	44	45.88	45.771
415	36.494	50.968	35.556	54	2	60	37.532	54.353	25	48	10.909	44	35.854	46.857
416	49.724	36.2	45	40	1.3636	44	46.35	40.129	46.875	32	7.5	32	54.375	32
417	43.094	37.593	42.439	41	1.4634	41	43.902	41	27.429	35	16	30	43.2	33.333
418	36.793	45.661	39.574	47	0	0	39.574	47	24.545	44	9.5455	44	34.091	44
419	34.643	55.422	34.737	57	0	0	34.737	57	30	54	4.6154	52	34.61	53.742
420	33.601	57.141	35	60	0	0	35	60	22.222	54	10.189	53	32.408	53.69
421	36.863	53.712	32.143	56	0	0	32.143	56	33.462	52	8.2353	51	41.694	51.806
422	35.336	55.185	35.789	57	0	0	35.789	57	31.698	53	3.2727	55	34.967	53.194
423	27.342	65.833	28.696	69	0.84507	71	29.54	69.059	20.323	62	5	60	25.318	61.615
424	29.229	65.688	31.765	68	0	0	31.765	68	22.857	63	3.9344	61	26.788	62.714
425	33.782	57.723	34.138	58	0.92308	65	35.048	58.206	29.474	57	3.0508	59	32.521	57.194
426	40.836	45.548	40	45	2.5532	47	42.548	45.125	30	46	9.1304	46	39.13	46
427	46.655	42.439	46.364	44	2.449	49	48.783	44.278	34.5	40	10.244	41	44.739	40.233
428	43.878	39.655	52.308	39	0	0	52.308	39	25.5	40	10	42	35.483	40.583
429	61.484	26.836	69.231	26	1.875	32	71.01	26.194	35.556	27	16.552	29	52.048	27.667
430	41.452	44.148	46.047	43	0	0	46.047	43	28	45	8.9362	47	36.923	45.5
431	40.743	47.125	40.408	49	1.4634	41	41.834	48.765	34.667	45	5.1064	47	39.764	45.267
432	42.365	41.78	38.182	44	3.913	46	42.088	44.194	38.462	39	4.5	40	42.959	39.107
433	43.64	41.934	41.429	42	0	0	41.429	42	40	42	5.8537	41	45.851	41.875
434	53.612	34.694	51.892	37	1.5385	39	53.426	37.061	41.25	32	13.125	32	54.375	32
435	47.253	35.554	47.692	39	0	0	47.692	39	35.625	32	12.414	29	47.954	31.28
436	39.779	45.25	42.128	47	0	0	42.128	47	36.279	43	1.3043	46	37.577	43.111
437	44.713	42.27	54	40	0	0	54	40	27.273	44	8.5714	49	35.765	45.296
438	48.08	36.19	54.375	32	2.069	29	56.426	31.9	38.049	41	3.1579	38	41.191	40.786
439	36.015	51.645	30	54	2.1429	56	32.14	54.138	34.286	49	5.7692	52	40.037	49.455
440	43.084	42.475	45.714	42	0	0	45.714	42	33.488	43	6.9767	43	40.465	43
441	56.632	31.254	62.069	29	0	0	62.069	29	44.118	34	7.7419	31	51.807	33.586
442	43.779	38.375	42.439	41	0	0	42.439	41	40	36	5.625	32	45.562	35.556
443	38.747	47.23	40.408	49	0	0	40.408	49	32	45	5.2174	46	37.215	45.143
444	38.339	50.862	37.091	55	0	0	37.091	55	33.913	46	6.25	48	40.153	46.323
445	35.803	51.952	32.727	55	1.1538	52	33.878	54.903	33.061	49	4.898	49	37.959	49
446	37.148	49.262	35.769	52	1.1111	54	36.879	52.062	31.915	47	5.8537	41	37.685	46.172
447	48.711	35.105	48.649	37	1.4286	42	50.052	37.161	45.455	33	2.5	24	47.774	32.654
448	52.879	36.877	50.769	39	2.5	48	53.145	39.514	47.647	34	5.625	32	53.254	33.8
449	58.777	29.603	56	30	1.7647	34	57.735	30.138	55.862	29	4	30	59.858	29.069
450	46.659	36.649	43.077	39	1.5385	39	44.615	39	44.118	34	5	36	49.102	34.214
451	42.677	44.286	36	50	0.96774	62	36.914	50.387	44.211	38	5.8537	41	50.033	38.375
452	49.747	36.183	43.077	39	1.4286	42	44.497	39.103	52.727	33	3	40	55.603	33.452
453	42.177	41.966	37.674	43	1.3636	44	39.037	43.036	45.366	41	0	0	45.366	41
454	38.291	43.875	38.182	44	1.2245	49	39.391	44.172	28.636	44	8.5714	42	37.194	43.556
455	50.742	39.612	48.571	42	0	0	48.571	42	45.405	37	7.8947	38	53.295	37.152
456	44.185	34.627	41.053	38	0	0	41.053	38	42.581	31	5.625	32	48.201	31.12
457	62.512	26.875	64.286	28	2	30	66.276	28.065	55.2	25	4	30	59.055	25.4
458	51.479	36.714	49.231	39	1.3333	45	50.534	39.182	42.857	35	10.345	29	52.941	34
459	59.127	24.354	55.862	29	0	0	55.862	29	66.667	18	2.3077	26	68.549	18.381
460	50.772	31.907	57.931	29	1.9355	31	59.858	29.069	35	36	7.7419	31	42.614	35.2
461	57.167	29.912	58.065	31	0	0	58.065	31	47.586	29	8.8889	27	56.439	28.704
462	48.714	36.95	50.27	37	1.7647	34	52.024	36.906	42.162	37	3.2432	37	45.405	37
463	42.358	45.328	36.25	48	1.1321	53	37.37	48.167	43.256	43	4.3902	41	47.637	42.824
464	42.023	42.833	40	45	0	0	40	45	36.585	41	7.6923	39	44.262	40.667
465	46.919	40.922	47.143	42	1.6216	37	48.742	41.853	42	40	3.1579	38	45.151	39.867
466	62.716	26.309	56.25	32	0	0	56.25	32	66.316	19	10.909	22	77.002	19.48
467	50.88	35.967	43.077	39	1.3043	46	44.341	39.241	52.727	33	5.4545	33	58.182	33
468	57.735	30.138	50	36	0	0	50	36	60	24	10.435	23	70.419	23.857
469	43.567	40.627	42.857	42	0	0	42.857	42	43.077	39	1.3333	45	44.38	39.207
470	41.444	45.603	37.2	50	0	0	37.2	50	35.714	42	10.769	39	46.44	41.344
471	47.746	38.328	48	40	0	0	48	40	42.162	37	5.625	32	47.694	36.483
472	43.186	39.596	43.5	40	0	0	43.5	40	35.385	39	7.5	40	42.881	39.179
473	41.731	43.852	36.25	48	0	0	36.25	48	43.5	40	4.3902	41	47.888	40.094
474	38.646	48.129	39.184	49	2.449	49	41.633	49	33.191	47	2.5	48	35.69	47.071
475	51.307	33.914	48.333	36	0	0	48.333	36	45	32	9.6774	31	54.67	31.828
476	45.704	32.163	54	30	0	0	54	30	30.857	35	7.0588	34	37.911	34.818
477	45.833	36	47.027	37	0	0	47.027	37	39.429	35	5.2941	34	44.719	34.885
478	48.595	36.424	44.211	38	0	0	44.211	38	53.143	35	0	0	53.143	35
479	56.019	29.455	50.625	32	2.2222	27	52.795	31.821	55.556	27	4.4444	27	60	27
480	44.758	40.217	42.857	42	0	0	42.857	42	45.789	38	1.1765	51	46.834	38.433
481	39.488	45.583	37.021	47	3.8298	47	40.851	47	26.512	43	11.739	46	38.213	43.964
482	40.677	47.938	38.4	50	0	0	38.4	50	40.435	46	2.6667	45	43.1	45.939
483	36.336	48.712	33.6	50	1.25	48	34.848	49.931	35	48	2.9268	41	37.868	47.533
484	38.017	51.292	39.623	53	1.2245	49	40.84	52.889	31.837	49	3.4615	52	35.287	49.31
485	38.379	51.591	40.385	52	0	0	40.385	52	34.118	51	2.2642	53	36.379	51.129
486	51.647	34.271	52.941	34	0	0	52.941	34	44.118	34	6.3158	38	50.359	34.552
487	41.401	39.13	42	40	1.6216	37	43.613	39.897	37.895	38	1.3636	44	39.226	38.24
488	36.125	42.353	32	45	0	0	32	45	33	40	7.5	40	40.5	40
489	36.285	45.473	30.638	47	4.186	43	34.797	46.556	32.727	44	5.1064	47	37.814	44.429
490	57.117	32.565	56.129	31	1.7647	34	57.878	31.1	52.941	34	3.6364	33	56.575	33.938
491	42.36	40.368	47.368	38	0	0	47.368	38	32.093	43	5.5814	43	37.674	43
492	62.069	29	72	25	0	0	72	25	52.727	33	1.8182	33	54.545	33
493	52.683	34.167	50.526	38	0	0	50.526	38	52	30	4.4444	27	56.403	29.786
494	43.504	37.927	42	40	1.0714	56	42.908	40.552	41.143	35	3.4286	35	44.571	35
495	41.919	43.656	38.667	45	1.4634	41	40.119	44.867	40	42	3.8298	47	43.781	42.484
496	58.823	29.07	57.931	29	0	0	57.931	29	51.724	29	8	30	59.716	29.138
497	42.507	38.111	40.5	40	0	0	40.5	40	41.667	36	3.0769	39	44.724	36.222
