#File created from auswertNew
# Temporary input file:
# tmp14.dat
# Created from repository file
# /home/vwitme/data/workdata/trafficData/Invent_A5/intermediatedata/A5frankfurt_06_01/daten/F14_1106.dat.gz
# Infrastructure description file:
# /home/vwitme/data/workdata/trafficData/Invent_A5/intermediatedata/A5frankfurt_06_01/daten/A5frankfurt_06_01.dsc
#
# Date: 11.06.2001
# Direction: Frankfurt
# Detector cross section 14
# Position (m)= 480.700000
# Number of main lanes=3
# Number of ramp lanes=2
# The lane indices are ordered from left to right
# NOTICE: The time has been increased by 1 hour 
# since summertime was not taken care of  in the original data!
# Velocity averages: Over veh types and lanes, weighted with flow
# vAvg=arithmetic average; vHarm=harmonic average
#===========================================
#t(min)	Qav(/h)	vAvg(km/h)	vHarm(km/h)	Q1car	v1car	Q1truck	v1truck	Q2car	v2car	Q2truck	v2truck	Q3car	v3car	Q3truck	v3truck
60	440.0	102.0		91.7		180	159	0	0	420	129	0	0	0	0	720	72
61	300.0	113.9		106.8		0	0	0	0	420	141	0	0	60	134	420	84
62	380.0	112.7		106.3		300	147	0	0	420	119	60	100	0	0	360	79
63	320.0	109.9		100.4		180	169	0	0	300	124	0	0	0	0	480	79
64	240.0	122.8		115.0		120	171	0	0	360	132	0	0	60	84	180	85
65	500.0	100.0		90.2		180	151	0	0	480	128	0	0	60	112	780	70
66	420.0	110.0		102.1		240	152	0	0	360	124	0	0	300	105	360	72
67	380.0	122.1		111.8		240	180	0	0	420	127	0	0	60	137	420	82
68	340.0	99.9		92.2		240	138	0	0	120	145	240	83	0	0	420	75
69	280.0	98.4		94.7		0	0	0	0	300	125	0	0	180	89	360	81
70	360.0	139.5		136.1		300	163	0	0	600	137	60	116	60	127	60	83
71	600.0	90.9		80.9		180	181	0	0	240	138	60	91	0	0	1320	70
72	540.0	95.1		81.6		240	167	0	0	360	129	60	83	60	97	900	63
73	300.0	105.1		97.2		60	189	0	0	300	131	0	0	120	90	420	79
74	400.0	129.2		119.2		240	178	0	0	420	147	0	0	240	107	300	83
75	180.0	122.2		108.5		60	192	0	0	180	162	0	0	60	82	240	85
76	420.0	100.1		92.1		180	163	0	0	300	122	120	84	0	0	660	76
77	340.0	89.5		85.5		0	0	0	0	300	122	0	0	0	0	720	76
78	320.0	107.1		99.4		240	149	0	0	180	129	0	0	60	83	480	81
79	280.0	114.1		104.4		180	160	0	0	300	130	0	0	0	0	360	78
80	300.0	109.6		101.8		180	166	0	0	180	124	60	102	0	0	480	84
81	100.0	93.6		92.8		0	0	0	0	120	102	0	0	60	98	120	83
82	220.0	118.9		108.9		180	170	0	0	60	122	0	0	120	128	300	84
83	260.0	116.2		104.3		180	178	0	0	120	149	180	88	60	83	240	83
84	360.0	92.6		90.5		60	146	0	0	240	106	240	86	60	97	480	82
85	280.0	114.6		108.9		120	140	0	0	420	130	60	91	0	0	240	81
86	260.0	103.0		98.0		60	163	0	0	240	124	120	91	0	0	360	83
87	300.0	97.7		91.4		240	139	0	0	60	121	120	86	0	0	480	77
88	440.0	109.9		101.1		300	156	0	0	360	127	60	86	0	0	600	79
89	340.0	122.4		112.9		240	153	0	0	360	147	60	88	0	0	360	83
90	280.0	108.3		99.8		180	170	0	0	120	91	60	90	60	139	420	85
91	400.0	97.2		93.0		180	147	0	0	240	108	60	88	0	0	720	82
92	400.0	108.8		104.5		240	135	0	0	540	118	60	80	120	87	240	80
93	280.0	98.9		92.5		60	175	0	0	180	131	60	85	60	91	480	80
94	400.0	99.2		95.0		60	137	0	0	300	132	120	91	60	92	660	83
95	300.0	103.4		95.7		180	154	0	0	180	123	180	86	0	0	360	77
96	240.0	106.4		96.3		60	197	0	0	180	144	0	0	0	0	480	81
97	200.0	105.3		97.8		60	151	0	0	240	128	0	0	120	84	180	74
98	300.0	105.9		98.7		0	0	0	0	300	148	60	87	120	94	420	82
99	540.0	106.1		99.7		420	140	0	0	420	121	60	89	60	70	660	80
100	260.0	98.8		91.1		60	177	0	0	120	149	60	90	0	0	540	80
101	400.0	95.3		88.6		120	156	0	0	240	129	0	0	0	0	840	77
102	440.0	104.6		90.3		300	182	0	0	60	175	0	0	0	0	960	76
103	220.0	117.4		105.2		120	167	0	0	240	138	0	0	60	113	240	73
104	400.0	93.8		87.9		60	169	0	0	300	126	0	0	0	0	840	77
105	320.0	101.9		92.8		120	197	0	0	120	126	0	0	0	0	720	82
106	260.0	117.7		103.9		120	216	0	0	240	131	0	0	0	0	420	82
107	260.0	113.0		107.4		60	132	0	0	420	131	0	0	60	100	240	80
108	240.0	85.2		81.8		120	128	0	0	0	0	60	91	0	0	540	75
109	300.0	88.5		82.7		60	167	0	0	120	130	0	0	0	0	720	75
110	320.0	97.9		93.1		120	122	0	0	240	130	120	81	0	0	480	80
111	240.0	91.2		87.9		60	125	0	0	120	125	0	0	0	0	540	80
112	180.0	110.4		105.0		60	160	0	0	180	125	0	0	60	119	240	85
113	160.0	117.0		108.1		60	167	0	0	180	143	0	0	0	0	240	85
114	140.0	101.9		97.8		0	0	0	0	120	135	0	0	120	97	180	83
115	120.0	114.2		106.1		60	153	0	0	120	140	0	0	0	0	180	84
116	200.0	97.9		91.7		60	153	0	0	120	133	0	0	0	0	420	80
117	260.0	112.8		106.4		60	153	0	0	360	131	0	0	60	123	300	81
118	220.0	101.7		95.3		60	150	0	0	180	134	0	0	0	0	420	81
119	280.0	103.1		96.9		60	146	0	0	240	138	60	87	60	85	420	82
120	340.0	112.1		104.9		240	147	0	0	240	138	60	88	60	82	420	85
121	400.0	110.7		100.4		240	168	0	0	240	140	60	91	0	0	660	81
122	140.0	132.9		119.2		120	193	0	0	120	140	0	0	0	0	180	88
123	360.0	112.7		103.3		120	203	0	0	420	125	0	0	0	0	540	83
